,Dehydroascorbate,Erythritol,Erythronate,Ethanolamine,Fructose,Fructose-6-phosphate,Fumarate,GABA,Galactinol,D-Galactose,Glucose,Glucose-1-phosphate,Glucose-6-phosphate,Glutamate,Glutamine,Glycerate,Glycerol,Glycerol-3-phosphate,Glycine,Glycolate,Guanidine,Histidine,Isocitrate,Isoleucine,Leucine,Lysine,Malate,Maltose,Methionine,myo-inositol,Nicotinate,Octadecanoate,Ornithine,Palmitate,Phenylalanine,Phosphoric acid,Proline,Putrescine,Pyroglutamate,Pyruvate,Raffinose,Ribitol,Ribulose-5-phosphate,S-methylmethionine,Salicylate,Serine,Sinapate,Spermidine,Succinate,Sucrose,Sulfuric acid,Threonate,Threonine,Trehalose,Tryptophan,Tyrosine,Uracil,Urea,Valine
0,11.000001,15.160324,22.856636,300711.78,126.0,18.000002,535.99994,22105.986,51.000008,3.0,113.0,3769.001,15.0,31.0,84.0,5.0000005,1146.9996,51.000008,2815.9998,339.99994,126.8175,12.0,43.728275,291.99994,305.00006,674.0,21.0,63.0,84.0,86.00001,300.0,4975.0015,216.00002,98847.0,33.0,3623.0022,1215.0001,353.0,1848.0,205.17656,8.999999,28.000004,5.0000005,31.999996,54.0,973.99994,88.25144,2.0000002,38.999996,818.00024,10.0,18.000002,132.00002,134.0,15.0,26.000002,253.0,920.0,313.99994
1,47277.02,8.29403,12.522734,81.0,56.0,6.0,18.999998,36.000004,22.999998,21.0,45.0,248.0,6.58811,5.0000005,8.999999,18.000002,18.000002,6.0,17.999996,89.38384,12.889238,3.0000005,9.587076,209.99995,84.0,87.0,4.0000005,8.999999,43.0,16950.998,35.000004,4.9999995,8.0,4.9999995,12.0,21.0,3575.9988,28.999996,43.0,15.51396,22.0,12.0,6.0,53.000004,625.9998,16.0,28.775253,38.000004,3.9999995,74.00001,19.999998,11.000001,18.000002,3.0,8.0,35.999992,77.99999,61.000008,31.999996
3,5.0000005,7.7915897,11.827343,48.0,8.0,49.999996,11.000001,10.999999,49.999996,11.000001,8.000001,58.000008,3.9999995,3.9999995,26.000002,8.999999,33.0,21.0,14.999997,524.00006,8.898018,74.00001,7.201458,14.0,3.0000005,17.000002,15.0,5.0000005,22.999998,28.000004,12.0,3.9999995,27.0,27.999994,3.0,48.999996,11.000001,4.0000005,3.9999995,31.999996,8.999999,3.9999995,3.9999995,37.000004,72.0,22.0,26.971409,8.999999,15.0,16.0,26.000002,6.0,23.999998,123.999985,118.00001,31.0,27.999994,94.99999,40.0
4,43.0,13.406532,20.358232,325377.2,28.999996,35.999992,313.99994,15451.004,28.000004,22.0,58.999992,2123.0005,56.0,16.0,76.87664,10.0,1861.0002,18.000002,1685.0001,290.00003,73.30824,3.0000005,31.95483,51.000008,198.00003,198.99998,12.0,4.0000005,28.000004,21.000008,146.99997,2349.9995,87.70714,46533.004,16.0,1408.9998,1176.9999,240.00003,1061.0002,133.08838,37.000004,31.999996,31.999996,74.00001,48.0,531.00006,68.499275,27.0,55.0,332.99997,34.0,8.999999,121.99999,71.00001,28.999996,4.9999995,201.99997,398.00015,286.99994
7,3674.0005,16.0,8.999999,29.000006,0.0,11.09801,4.0000005,2.0000002,13.0,14.0,16.0,1071.0004,1.1920929e-07,6.0,12.0,3.9999995,8.0,11.44106,69.0,431.00003,3.9999995,8.999999,0.0,98.99999,72.0,127.0,23.999998,11.000001,14.0,72045.97,4.0000005,12.0,0.9999999,424.00012,17.000002,8.0,2032.9996,2.0000002,13.0,3.0,3.9999995,15.0,8.0,30.364782,2.0000002,4.0000005,27.0,8.0,70.999985,18.999998,14.21523,3.9999995,17.000002,31.32035,14.0,19.999998,10.999999,51.000008,0.0
9,3.0000005,14.0,8.0,212.00002,1.9999998,22.817646,765.9997,138.00002,175.0,-1.1920929e-07,34.0,668.0,2.0,226.00002,72.999985,0.0,1755.9998,25.217577,838.0002,305.00006,972.9996,73.00001,22.999998,86.00001,86.00001,21.0,45.0,12.0,577.00006,12.0,92.0,2661.9998,11.000001,21121.0,35.000004,316.00003,931.0001,40.999996,2639.0005,44.000004,94.99999,16.0,5.0000005,65.1226,10.0,411.9999,185.0,-5.9604645e-08,18.000002,34.0,22.830969,0.9999999,92.0,58.164295,27.0,-1.7881393e-07,21.0,154.00002,131.99997
18,28.000004,7.564907,11.522906,8.999999,3.0,12.0,13.0,8.0,4.9999995,2.0000002,28.999996,7.000001,62.000008,6.0,13.856072,3.869635,33.0,11.000001,16.0,53.000004,7.728464,16.0,6.298218,16.999996,4.9999995,11.000001,10.999999,52.000004,38.999996,14.0,17.000002,24.999994,4.9999995,3.0,17.000002,18.999998,23.999998,37.000004,3.9999995,281.99997,10.999999,6.0,3.0,8.0,22.0,23.999998,26.062273,18.999998,16.0,6.0,16.0,18.999998,26.000002,31.0,28.000004,9.341378,12.0,12.0,4.9999995
21,5.0000005,7.0,25.000004,2.0,64.00001,10.945968,16.0,0.99999964,44.000004,21.0,15.0,330.99994,7.0,2.0,6.9999986,5.0000005,44.000004,11.248797,1.9999995,-1.7881393e-07,3.0,1.0,18.999998,13.0,77.00001,36.000004,23.999998,12.0,52.000004,542.9998,2.0,18.000002,78.99999,213.0,27.0,13.0,1556.9998,17.000002,6.9999986,36.000004,18.999998,2.0000002,2.0,29.055008,2.0000002,2.0000002,10.0,28.000004,3.9999995,16.0,13.95997,5.0000005,9.000001,30.55585,44.000004,7.0,10.0,22.999998,0.0
32,72691.02,9.911893,15.028313,73.00001,74.00001,10.0,6.0,12.0,171.0,16.0,2313.9993,591.00006,8.0,10.0,40.999996,8.0,103.000015,53.000004,22.999998,196.61938,28.353064,15.0,18.220882,426.99985,189.00002,44.000004,4.0000005,17.000002,26.000002,26842.0,37.46918,169.99998,12.0,1910.0001,8.999999,13.0,4559.999,35.000004,15.0,13.0,45.0,176.0,23.999998,1624.0005,505.99994,10.0,39.602974,19.999998,15.0,134.0,4.9999995,5.0000005,13.0,14.0,194.0,8.999999,37.000004,12.0,69.30592
61,16.0,15.220655,23.07082,365572.78,84.0,4.9999995,267.0001,23117.992,16.0,31.0,67.99999,3268.9993,8.999999,5.0000005,69.99999,34.00001,2980.001,2.9999998,4897.999,383.0001,135.3035,17.000002,45.990257,419.0001,575.9999,488.00012,56.0,7.0,118.999985,20.000006,355.99997,2585.0005,15.0,54327.035,39.521744,6371.0034,1933.9995,219.1219,3004.0,213.022,31.999996,14.0,8.999999,12.0,58.000008,2107.0002,89.53627,8.999999,92.0,359.00015,40.0,18.000002,222.00002,117.000015,10.0,139.99998,439.0,5929.9995,771.99976
